Class,IoU,Acc,Dice,Fscore,Precision,Recall
background,95.19,98.44,97.53,97.53,96.64,98.44
buildings,58.85,67.56,74.1,74.1,82.03,67.56
background,95.24,98.21,97.56,97.56,96.92,98.21
buildings,60.2,70.43,75.16,75.16,80.57,70.43
background,95.24,97.66,97.56,97.56,97.46,97.66
buildings,62.09,75.87,76.61,76.61,77.37,75.87
background,95.52,97.98,97.71,97.71,97.43,97.98
buildings,63.37,75.51,77.58,77.58,79.76,75.51
background,95.09,98.4,97.48,97.48,96.58,98.4
buildings,58.13,66.94,73.52,73.52,81.55,66.94
background,94.66,97.74,97.26,97.26,96.78,97.74
buildings,56.93,69.15,72.55,72.55,76.3,69.15
background,95.31,97.76,97.6,97.6,97.44,97.76
buildings,62.37,75.62,76.83,76.83,78.07,75.62
background,95.36,97.83,97.62,97.62,97.42,97.83
buildings,62.52,75.41,76.94,76.94,78.52,75.41
background,95.5,98.87,97.7,97.7,96.55,98.87
buildings,60.04,66.48,75.03,75.03,86.11,66.48
